WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
1/01/2009 10:00,11.6,89,19,74.45,1006.6,1010,1010.2,0,36.2,11,888,27.6,27.5,27,25,19,27.93
1/01/2009 10:10,11.4,93,20,75.2,1006.5,1009.9,1010.1,0,35.3,10,908,27.8,27.5,27,25.1,16,28.19
1/01/2009 10:20,11.6,105,19,76,1006.4,1009.8,1010,0,36.2,11,930,28,27.4,26.9,25,16,27.92
1/01/2009 10:30,11.9,109,26,76.67,1006.4,1009.7,1010,0,35.1,8,951,28.1,27.4,26.9,25.1,13,28.81
1/01/2009 10:40,11.8,85,24,77.4,1006.3,1009.6,1009.9,0,34.4,9,964,28.3,27.4,26.9,25,16,29.07
1/01/2009 10:50,11.9,86,22,78.15,1006.2,1009.5,1009.8,0,33.4,9,987,28.5,27.4,26.9,25.1,16,29.71
1/01/2009 11:00,11.8,108,26,78.91,1006,1009.3,1009.6,0,32.6,9,1002,28.7,27.4,26.9,25,15,29.96
1/01/2009 11:10,11.6,91,21,79.69,1006,1009.3,1009.6,0,31.6,9,1017,28.9,27.3,26.9,25.1,15,30.32
1/01/2009 11:20,11.5,86,22,80.6,1005.9,1009.2,1009.5,0,30.6,11,1025,29.1,27.3,26.9,25,18,30.71
1/01/2009 11:30,11.8,74,26,81.39,1005.8,1009.1,1009.4,0,30.7,9,1029,29.3,27.3,26.9,25.1,16,31.02
1/01/2009 11:40,11.7,67,17,82.2,1005.8,1009.1,1009.4,0,30.1,9,1042,29.5,27.3,26.9,25.1,15,31.31
1/01/2009 11:50,11.6,66,18,83.01,1005.7,1009,1009.3,0,29.8,9,1034,29.7,27.3,26.8,25.1,14,31.29
1/01/2009 12:00,11.8,87,30,83.71,1005.7,1009,1009.3,0,29.1,7,1042,30,27.3,26.8,25.1,15,31.98
1/01/2009 12:10,12.2,86,30,84.49,1005.6,1008.9,1009.2,0,28.2,8,1044,30.2,27.3,26.8,25.1,12,33.07
1/01/2009 12:20,11.3,108,26,85.2,1005.4,1008.7,1009,0,28.2,7,1038,30.4,27.3,26.8,25.1,10,32.01
1/01/2009 12:30,11.6,81,30,85.93,1005.4,1008.7,1009,0,26.9,7,1036,30.7,27.4,26.8,25.1,12,33.18
1/01/2009 12:40,11.1,124,25,86.6,1005.3,1008.6,1008.9,0,26.4,6,1038,30.9,27.4,26.8,25.1,9,32.91
